iter	Passed	Remaining
403	9612	2284
404	9640	2261
405	9663	2237
406	9689	2214
407	9714	2190
408	9736	2166
409	9760	2142
410	9783	2118
411	9806	2094
412	9828	2070
413	9854	2047
414	9876	2022
415	9897	1998
416	9924	1975
417	9950	1951
418	9974	1928
419	9998	1904
420	10020	1880
421	10041	1856
422	10062	1831
423	10086	1807
424	10109	1784
425	10135	1760
426	10157	1736
427	10177	1712
428	10199	1688
429	10226	1664
430	10251	1641
431	10275	1617
432	10296	1593
433	10319	1569
434	10344	1545
435	10364	1521
436	10387	1497
437	10409	1473
438	10431	1449
439	10453	1425
440	10476	1401
441	10498	1377
442	10524	1354
443	10547	1330
444	10568	1306
445	10594	1282
446	10615	1258
447	10637	1234
448	10662	1211
449	10687	1187
450	10713	1164
451	10736	1140
452	10760	1116
453	10785	1092
454	10808	1069
455	10831	1045
456	10854	1021
457	10877	997
458	10902	973
459	10922	949
460	10945	925
461	10971	902
462	10996	878
463	11020	855
464	11045	831
465	11070	807
466	11093	783
467	11114	759
468	11136	736
469	11160	712
470	11183	688
471	11207	664
472	11230	641
473	11256	617
474	11281	593
475	11306	570
476	11329	546
477	11352	522
478	11373	498
479	11394	474
480	11419	451
481	11443	427
482	11467	403
483	11491	379
484	11514	356
485	11538	332
486	11562	308
487	11588	284
488	11612	261
489	11633	237
490	11656	213
491	11678	189
492	11698	166
493	11722	142
494	11743	118
495	11765	94
496	11787	71
497	11811	47
498	11832	23
499	11854	0
