iter	Logloss
419	0.226722608
420	0.2266872292
421	0.2266696487
422	0.2266496875
423	0.2266242209
424	0.2265896306
425	0.2265529643
426	0.2265149995
427	0.2265003144
428	0.2264717665
429	0.2264294736
430	0.2263932287
431	0.2263464504
432	0.2263198824
433	0.2262867511
434	0.2262287395
435	0.2262071381
436	0.2261681798
437	0.2261402781
438	0.2261102708
439	0.2260778357
440	0.2260392422
441	0.2260026551
442	0.2259833145
443	0.225953114
444	0.2259309715
445	0.2258854864
446	0.2258576031
447	0.2258189833
448	0.2257783002
449	0.225742844
450	0.2257139354
451	0.2256839127
452	0.2256423096
453	0.2256015258
454	0.2255593962
455	0.2255379288
456	0.2254999582
457	0.2254500124
458	0.2254112293
459	0.2253802285
460	0.2253651755
461	0.2253379865
462	0.2252893557
463	0.2252538897
464	0.2252000221
465	0.2251570053
466	0.2251192559
467	0.2250765934
468	0.2250395927
469	0.2250126687
470	0.2249771688
471	0.2249381921
472	0.2249077602
473	0.2248624973
474	0.2248099556
475	0.2247659514
476	0.2247170885
477	0.2246833305
478	0.2246499089
479	0.2246233975
480	0.2245900579
481	0.2245588462
482	0.2245308811
483	0.2244998564
484	0.2244591891
485	0.2244164467
486	0.2243892357
487	0.2243453009
488	0.2243075545
489	0.2242679703
490	0.2242223172
491	0.2241809192
492	0.224170936
493	0.2241305766
494	0.2241038495
495	0.2240658004
496	0.2240394631
497	0.2239901717
498	0.2239733592
499	0.2239535648
